url_documento,origem_documento,tipo_documento,data_documento,num_lesgislacao,topico_texto,documento_texto
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,Quais os principais objetivos da reforma tributária do consumo?,"A Reforma Tributária tem três grandes objetivos:

• Fazer a economia brasileira crescer de forma sustentável, gerando emprego e renda: a reforma tributária eliminará as principais distorções causadas pelo atual sistema tributário brasileiro na nossa economia. Com o fim da cumulatividade dos tributos, da guerra fiscal, de discussões e litígios administrativos e judiciais de todas as ordens, a reforma tributária reduzirá custos e acabará com ineficiências para as empresas e para o poder público, que hoje diminuem o potencial de crescimento da economia brasileira. Essa transformação gerará um maior crescimento da economia, o que, por consequência, aumentará o emprego e a renda dos cidadãos brasileiros. Quando a economia cresce mais, todos ganham: as empresas, os cidadãos e os governos.

• Tornar nosso sistema tributário mais justo, reduzindo as desigualdades sociais e regionais: os tributos atuais incidem em parte na origem – Estados e Municípios onde estão localizadas as empresas que fornecem bens e serviços – o que concentra a arrecadação em entes federativos que usualmente já são mais desenvolvidos. Nosso modelo tributário atual acaba, portanto, agravando as desigualdades regionais no nosso país. Com a adoção do princípio do destino pela Reforma Tributária, a arrecadação passará da produção para o consumo, ou seja, para os Estados e Municípios em que estão localizados os consumidores. O princípio do destino beneficia, portanto, os Estados e Municípios menos desenvolvidos, promovendo uma redistribuição de receitas e reduzindo as desigualdades regionais. Da mesma forma, o princípio do destino acabará com a guerra fiscal e todas as distorções e ineficiências que ela causa. A reforma também reduzirá as desigualdades sociais, dado que beneficiará mais os brasileiros mais pobres, cujo consumo hoje é mais tributado do que o dos mais ricos. A adoção de uma alíquota-padrão como regra geral e a possibilidade de devolução de parte do imposto pago – o cashback – são fatores que contribuem para o alcance desse objetivo.

• Reduzir a complexidade da tributação, assegurando transparência e provendo maior cidadania fiscal: com a Reforma, as empresas gastarão menos tempo e dinheiro para apurar tributos e enfrentar litígios administrativos e judiciais. Além disso, algumas características do novo sistema como base ampla, não cumulatividade plena e regras uniformes melhoram o ambiente de negócios, eliminam distorções, trazem mais segurança jurídica e estimulam a concorrência leal, resultando em bens e serviços de mais qualidade e com preços mais baixos. A simplificação também significa mais transparência, pois o valor dos tributos cobrados nas aquisições de bens e serviços passará a corresponder exatamente à carga tributária suportada pelos cidadãos, o que hoje não ocorre. Ao saber quanto pagam de tributos, as pessoas podem atuar de forma mais efetiva no exercício da cidadania fiscal, exigindo contrapartidas do Estado e serviços públicos de melhor qualidade."
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,Quais os principais problemas do sistema tributário atual?,"Os problemas do atual sistema tributário são muitos. Entre eles, destacam-se:

• Base fragmentada e imperfeita: há um imposto para mercadorias e outro para serviços num mundo baseado na economia digital em que é cada vez mais difícil distinguir uma coisa da outra. Esta fragmentação de bases leva a conflitos de competência entre os entes federativos e dupla tributação. O IBS e a CBS terão base ampla e incidirão sobre bens, materiais e imateriais, inclusive direitos, e serviços indistintamente, de forma que discussões sobre a caracterização e definição de qual tributo aplicar serão eliminadas.

• Cumulatividade: é também outro grave problema, pois gera o pagamento de impostos sem recuperação via créditos e onera os investimentos e a produção do Brasil, deixando o produto nacional em desvantagem em relação ao produto importado, tanto no mercado interno quanto no exterior. A cumulatividade ocorre tanto em razão da existência de tributos cumulativos, como o ISS e o PIS/Cofins no regime cumulativo, como também em razão das inúmeras restrições ao creditamento nos tributos não cumulativos como ICMS, PIS/Cofins e IPI não cumulativos. Além disso, os créditos acumulados não são devolvidos aos contribuintes em tempo hábil e de maneira eficaz, o que também gera cumulatividade no sistema.

• Complexidade: Desde a CF/1988, foram editadas mais de 460 mil normas tributárias no Brasil, ou seja, 37 normas tributárias por dia útil (fonte: IBPT). Só o ICMS tem 27 legislações estaduais, cada qual com uma enorme quantidade de alíquotas e regimes especiais. O ISS tem mais de 5.500 legislações, uma para cada município, cada qual com suas variações. O PIS e a Cofins têm hoje mais de 100 hipóteses de alíquota zero, além de mais de 20 regimes especiais. Esse cipoal de normas torna altíssimo o custo burocrático de pagamento dos impostos no Brasil e gera diversas distorções na economia.

• Guerra fiscal entre os entes: no nosso atual sistema tributário, parte do imposto permanece no estado de origem, ou seja, onde o produto é fabricado. Para atrair empresas, o estado de origem abre mão do ICMS a que teria direito, transferindo ao estado de destino (onde o produto é consumido) o crédito de um imposto que não foi cobrado. O problema é que todos os estados passaram a utilizar essa estratégia, competindo entre si e levando a uma situação em que todos perdem. Com a Reforma Tributária, a CBS e o IBS pertencerão ao estado e ao município onde o bem ou serviço é consumido, pondo fim à guerra fiscal.

• Falta de transparência: atualmente é praticamente impossível se saber a carga tributária efetivamente cobrada, dada a profusão de alíquotas, reduções de base de cálculo, benefícios fiscais e regimes especiais de tributação, além de haver incidência de tributos sobre tributos, cálculo por dentro, restrições à não cumulatividade e existência de créditos presumidos na cadeia.

• Elevado grau de litigiosidade e insegurança jurídica: hoje há 26,8 milhões de processos de execução fiscal pendentes no Poder Judiciário, que levam em média 7 anos para serem julgados (fonte: CNJ). Os processos tributários, nas esferas administrativa e judicial, ultrapassam 75% do PIB (fonte: Insper). A simplificação promovida pela reforma tributária certamente contribuirá para reduzir significativamente o grau de litígio sobre matérias tributárias."
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,Quais as principais alterações promovidas pela Reforma Tributária?,"Com a Reforma Tributária, o Brasil passará a ter um IVA (Imposto sobre Valor Adicionado) Dual, composto pela CBS (Contribuição sobre Bens e Serviços), federal, e pelo IBS (Imposto sobre Bens e Serviços), de estados e municípios. O IVA é utilizado em 174 dos 193 países reconhecidos pela ONU e é internacionalmente reconhecido como o melhor modelo tributação do consumo. Esse modelo foi adotado originalmente na Europa e os países que o implementaram a partir da década de 90 costumam chamar o IVA de GST - Goods and Services Tax (Imposto sobre Bens e Serviços).

A reforma contempla também a criação do Imposto Seletivo (IS), federal, de caráter estritamente regulatório, para desestimular o consumo de produtos prejudiciais à saúde e ao meio ambiente.

Na esfera federal, a CBS e o IS substituirão a Contribuição para o Programa de Integração Social (PIS), a Contribuição para o Financiamento da Seguridade Social (Cofins) e o Imposto sobre Produtos Industrializados (IPI).

Nas esferas estadual e municipal, o IBS substituirá o ICMS (Imposto sobre circulação de mercadorias e sobre prestações de serviços de transporte interestadual e intermunicipal e de comunicação), estadual, e o ISS (Imposto Sobre Serviços de Qualquer Natureza), municipal.

O IBS e a CBS terão administração separada, mas terão regras harmônicas entre si, pois uma lei complementar única definirá para ambos os mesmos:

• Fatos geradores, bases de cálculo, hipóteses de não incidência e sujeitos passivos;

• Imunidades;

• Regimes específicos, diferenciados ou favorecidos de tributação; e

• Regras de não cumulatividade e creditamento."
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,Como funciona do modelo IVA?,"O IVA incide sobre cada operação com bens e serviços na cadeia econômica. No modelo IVA, a ser adotado para a CBS e o IBS, os adquirentes de produtos ou tomadores de serviços pagam o preço das aquisições, incluindo o imposto, ao fornecedor ou prestador ao longo da cadeia. O fornecedor ou prestador, por sua vez, coleta o imposto dos adquirentes e tomadores, deduz desse montante o valor do imposto cobrado sobre suas aquisições de bens e serviços (crédito do imposto) e repassa este valor à administração tributária. Tendo em vista que as empresas no meio da cadeia terão crédito total relativo aos tributos pagos nas suas aquisições, elas serão totalmente desoneradas, e o ônus econômico só recaíra sobre o consumo final dos bens e serviços. É por isso que se classifica o IVA como um imposto sobre o consumo, ainda que cobrado ao longo da cadeia de produção e comercialização."
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,Exemplo de um modelo IVA,"No processo de fabricação e comercialização de uma CAMISA acontecem as seguintes etapas, supondo um IVA com alíquota de 25%, sem regimes favorecidos:

1. PRODUTOR RURAL

O produtor rural vende o algodão por R$ 40,00 (para fins didáticos, supõe-se que o produtor se algodão não adquiriu insumos), mais o IVA de R$ 10,00.

IVA = R$ 10,00

2. INDÚSTRIA DE TECELAGEM

Ao comprar do produtor do algodão, a indústria de tecelagem paga R$ 50,00. A indústria então transforma o algodão em tecido, que vende por R$ 60,00, mais o IVA de R$ 15,00. Entretanto, ao recolher o tributo, a tecelagem desconta o valor de R$ 10,00 do IVA que pagou na aquisição do algodão, de modo a somente pagar ao fisco a diferença de R$ 5,00.

(+) Débito = R$ 15,00

(-) Crédito = R$ 10,00

(=) IVA = R$ 5,00

3. FÁBRICA DE ROUPAS

Ao comprar o tecido, a fábrica de roupas paga R$ 75,00. A fábrica então transforma o tecido numa camisa, pela qual cobrará R$ 100,00, mais o IVA de R$ 25,00. Entretanto, ao recolher o imposto para o fisco, a fábrica de roupas desconta o valor de R$ 15,00 do IVA pago na aquisição do tecido, de modo a somente pagar ao fisco o valor de R$ 10,00.

(-) Débito = R$ 25,00

(+) Crédito = R$ 15,00

(=) IVA = R$ 10,00 

4. LOJA DE ROUPAS

A loja de roupas compra a camisa da fábrica por R$ 125,00 e a coloca à venda por R$ 200,00, mais o IVA de R$ 50,00. Entretanto, ao recolher o imposto para o fisco, o dono da loja desconta o valor de R$ 25,00 do IVA pago na aquisição da camisa, de modo a somente pagar ao fisco a diferença de R$ 25,00.

(-) Débito = R$ 50,00

(+) Crédito = R$ 25,00

(=) IVA = R$ 25,00 

5. CONSUMIDOR

Por fim, o consumidor final pagará à loja o valor total de R$ 250,00, que corresponde justamente ao preço de R$ 200,00 da camisa, mais o IVA de R$ 50,00.

Preço sem imposto = R$ 200,00

Preço total = R$ 250,00

IMPORTANTE: o valor R$ 50,00 do IVA pago pelo consumidor equivale à soma: R$ 10,00 recolhidos pelo produtor rural + R$ 5,00 recolhidos pela tecelagem + R$ 10,00 recolhidos pela fábrica de roupas + R$ 25,00 recolhidos pela loja. O modelo do IVA é transparente justamente porque o valor do imposto cobrado do consumidor é igual à soma de todo imposto pago ao longo da cadeia."
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,Quais são as principais características da CBS e do IBS?,"A Contribuição sobre Bens e Serviços (CBS), federal, e o Imposto sobre Bens e Serviços (IBS), de estados e municípios, terão as principais características de um bom imposto sobre valor adicionado (IVA). São elas:

• Base ampla de incidência: o IBS e a CBS alcançarão todas as operações com bens materiais e imateriais, inclusive os direitos, ou serviços. Isso significa que incidirão sobre negócios jurídicos tais como alienação, troca ou permuta, locação, cessão, disponibilização, licenciamento, arrendamento mercantil e prestação de serviços.

• Tributação no destino: os tributos serão destinados ao ente onde estão localizados os consumidores dos bens ou dos serviços.

• Não cumulatividade plena: os tributos pagos ao longo da cadeia gerarão créditos imediatos, inclusive os pagos na aquisição de bens do ativo fixo (máquinas, equipamentos etc.) e bens de uso e consumo utilizados na atividade econômica (como energia elétrica, material administrativo e serviços de telecomunicação). O creditamento dos tributos pagos pelas empresas desonera a cadeia econômica, os investimentos e as exportações, de forma que, na prática, a tributação recai apenas sobre o consumo final da mercadoria ou serviço e não sobre os setores. Tendo em vista que os tributos incidentes nas etapas anteriores geram crédito para os prestadores e fornecedores, o IVA é neutro para os negócios, independente da forma de organização da produção (em cadeia ou em rede, por exemplo) e do tipo de bem ou serviço adquirido (se intangível, como softwares, ou tangível, como máquinas e equipamentos).

• Legislação uniforme: o IBS e a CBS terão regras idênticas aplicáveis em todo o território nacional.

• Cobrança “por fora”: os tributos não comporão a base de cálculo deles mesmos nem a base um do outro, tornando suas alíquotas transparentes para os cidadãos.

• Rápida devolução dos créditos acumulados: os créditos acumulados devidos aos contribuintes são ressarcidos de forma muito rápida e eficiente.

• Desoneração dos investimentos: os investimentos geram aproveitamento imediato dos créditos, que são ressarcidos de forma rápida.

• Desoneração das exportações: o exportador recebe de volta o valor do IVA incidente sobre os insumos e demais mercadorias e serviços que adquiriu.

• Incidência sobre importações: as mercadorias e os serviços importados, inclusive os digitais, têm a mesma tributação aplicável aos nacionais."
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,O que é CBS,Contribuição sobre Bens e Serviços (CBS)
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,O que é IBS,Imposto sobre Bens e Serviços (IBS)
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,Quais serão os principais impactos da Reforma Tributária?,"Estudos demonstram que a reforma tributária terá impactos positivos sob as perspectivas econômica, social e federativa:
• Econômica: estima-se que a reforma tributária gerará um crescimento adicional da economia de 12% a 20% em 15 anos. Hoje, esses 12% representariam R$ 1,2 trilhão a mais no PIB de 2022. Ou seja, se a Reforma tivesse sido aprovada há 15 anos, cada brasileiro teria hoje, em média, mais R$ 490,00 por mês de renda.
• Setorial: mesmo no cenário conservador e considerando a adoção de uma alíquota padrão, sem exceções, todos os setores seriam beneficiados pela Reforma Tributária: agro (+10,6%), indústria (+16,6%) e serviços (+10,1%).
• Social: projeta-se que a reforma gerará de 7 a 12 milhões de novos empregos e aumentará o poder de compra de todas as faixas de renda, especialmente dos mais pobres.
• Federativa: a passagem da arrecadação da origem para o destino beneficiará os estados e municípios mais pobres da Federação, que passarão a ter mais recursos para atender a seus cidadãos. Considerando os tributos abarcados pela Reforma, a diferença de receitas entre os municípios mais ricos e os mais pobres, que hoje é de 200 vezes, será reduzida para 15 vezes.
"
https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/perguntas-e-respostas,Ministério da Fazenda,Perguntas e Respostas,14/08/2023,,A Reforma Tributária vai aumentar a carga tributária?,"Não. Uma das premissas da Reforma que está expressamente prevista no substitutivo da PEC 45/2019 aprovado pela Câmara dos Deputados é a de que não haverá aumento de carga tributária. Durante o período de transição, as alíquotas de referência do IBS e da CBS serão estabelecidas e revisadas anualmente pelo Senado Federal de modo a manter a arrecadação dos atuais tributos com vistas à manutenção da carga tributária como proporção do PIB. Ou seja, as alíquotas corresponderão ao que hoje já se paga com os atuais tributos, mas agora serão transparentes. Além disso, a regra geral será a adoção de uma alíquota padrão uniforme, aplicável a todas as operações com bens e serviços, o que trará muito mais simplicidade e isonomia em relação ao modelo atual."
